TT_ID,specie,stringType.x,Tref_0,Theat_0,growth,adc_bandgap,nbits,RH,Tair,gzm,gzsd,gym,gysd,gxm,gxsd,Tref_1,Theat_1,StWC,stringType.y,Timestamp,SDate,STime
individuo 1,PP,45,256,242,0,43010,17,47,194,-4050,0,-593,0,370,0,253,293,13011,49,2023-07-08 05:00:00 UTC,2023-07-08,07:00:00
individuo 1,PP,45,261,246,0,42626,17,48,187,-4050,0,-595,0,369,0,258,296,13101,49,2023-07-05 05:00:00 UTC,2023-07-05,07:00:00
individuo 1,PP,45,266,253,0,43010,17,46,202,-4050,0,-592,0,370,0,263,303,12996,49,2023-07-08 04:00:00 UTC,2023-07-08,06:00:00
individuo 1,PP,45,268,255,0,42754,17,45,201,-4050,0,-594,0,369,0,266,305,12993,49,2023-07-06 05:00:00 UTC,2023-07-06,07:00:00
individuo 1,PP,45,270,278,0,43010,17,49,235,-4049,0,-592,0,367,0,283,348,12317,49,2023-07-08 06:00:00 UTC,2023-07-08,08:00:00
individuo 1,PP,45,273,258,0,42626,17,47,195,-4050,0,-595,0,369,0,269,307,13074,49,2023-07-05 04:00:00 UTC,2023-07-05,06:00:00
individuo 1,PP,45,276,265,0,42878,17,46,218,-4049,0,-595,0,368,0,275,317,12891,49,2023-07-07 05:00:00 UTC,2023-07-07,07:00:00
individuo 1,PP,45,278,285,0,42498,17,50,234,-4049,0,-594,0,367,0,291,354,12339,49,2023-07-05 06:00:00 UTC,2023-07-05,08:00:00
individuo 1,PP,45,279,265,0,42714,17,45,209,-4049,0,-595,0,368,0,276,315,13004,49,2023-07-06 04:00:00 UTC,2023-07-06,06:00:00
individuo 1,PP,45,281,267,0,43010,17,46,221,-4049,0,-593,0,368,0,278,318,12890,49,2023-07-08 03:00:00 UTC,2023-07-08,05:00:00
individuo 1,PP,45,281,284,0,42626,17,47,237,-4049,0,-594,0,366,0,292,353,12391,49,2023-07-06 06:00:00 UTC,2023-07-06,08:00:00
individuo 1,PP,45,285,268,0,42503,17,47,207,-4049,0,-595,0,368,0,283,320,12983,49,2023-07-05 03:00:00 UTC,2023-07-05,05:00:00
individuo 1,PP,45,286,275,0,42104,17,50,215,-4049,0,-596,0,368,0,285,326,12896,49,2023-07-01 05:00:00 UTC,2023-07-01,07:00:00
individuo 1,PP,45,290,275,0,42626,17,44,218,-4049,0,-594,0,368,0,287,326,12934,49,2023-07-06 03:00:00 UTC,2023-07-06,05:00:00
individuo 1,PP,45,292,283,0,42754,17,45,244,-4049,0,-593,0,366,0,290,335,12751,49,2023-07-07 04:00:00 UTC,2023-07-07,06:00:00
individuo 1,PP,45,293,300,0,42754,17,47,260,-4048,0,-595,0,366,0,301,364,12265,49,2023-07-07 06:00:00 UTC,2023-07-07,08:00:00
individuo 1,PP,45,294,282,0,42882,17,45,240,-4049,0,-592,0,364,0,292,335,12724,49,2023-07-08 02:00:00 UTC,2023-07-08,04:00:00
individuo 1,PP,45,298,281,0,42498,17,47,218,-4049,0,-595,0,368,0,296,331,12941,49,2023-07-05 02:00:00 UTC,2023-07-05,04:00:00
individuo 1,PP,45,298,290,0,42754,17,45,250,-4048,0,-595,0,367,0,297,341,12627,49,2023-07-07 03:00:01 UTC,2023-07-07,05:00:01
individuo 1,PP,45,299,288,0,42123,17,51,232,-4048,0,-597,0,368,0,298,339,12763,49,2023-07-02 05:00:00 UTC,2023-07-02,07:00:00
individuo 1,PP,45,299,303,0,41986,17,52,251,-4048,0,-595,0,367,0,304,361,12470,49,2023-07-01 06:00:00 UTC,2023-07-01,08:00:00
individuo 1,PP,45,299,305,0,42882,17,50,294,-4047,0,-593,0,363,0,301,382,12207,49,2023-07-08 07:00:00 UTC,2023-07-08,09:00:00
individuo 1,PP,45,300,311,0,42370,17,51,285,-4047,0,-595,0,364,0,304,375,12305,49,2023-07-05 07:00:00 UTC,2023-07-05,09:00:00
individuo 1,PP,45,301,289,0,41986,17,50,231,-4049,0,-595,0,367,0,298,339,12825,49,2023-07-01 04:00:00 UTC,2023-07-01,06:00:00
individuo 1,PP,45,302,290,0,42370,17,50,236,-4048,0,-596,0,367,0,300,340,12734,49,2023-07-04 05:00:00 UTC,2023-07-04,07:00:00
individuo 1,PP,45,304,289,0,42626,17,44,228,-4049,0,-595,0,366,0,301,339,12832,49,2023-07-06 02:00:00 UTC,2023-07-06,04:00:00
individuo 1,PP,45,304,292,0,42882,17,45,249,-4049,0,-588,0,365,0,301,342,12647,49,2023-07-08 01:00:00 UTC,2023-07-08,03:00:00
individuo 1,PP,45,305,295,0,42754,17,45,254,-4047,0,-596,0,366,0,303,347,12604,49,2023-07-07 02:00:00 UTC,2023-07-07,04:00:00
individuo 1,PP,45,308,296,0,42754,17,44,247,-4048,0,-595,0,367,0,307,347,12686,49,2023-07-07 01:00:00 UTC,2023-07-07,03:00:00
individuo 1,PP,45,310,312,0,42114,17,53,264,-4047,0,-597,0,366,0,318,376,12212,49,2023-07-02 06:00:00 UTC,2023-07-02,08:00:00
individuo 1,PP,45,311,300,0,42114,17,51,246,-4048,0,-597,0,367,0,308,349,12686,49,2023-07-02 04:00:00 UTC,2023-07-02,06:00:00
individuo 1,PP,45,312,295,0,42498,17,46,229,-4048,0,-595,0,367,0,309,344,12862,49,2023-07-05 01:00:00 UTC,2023-07-05,03:00:00
individuo 1,PP,45,312,302,0,41986,17,50,246,-4048,0,-595,0,367,0,311,354,12695,49,2023-07-01 03:00:00 UTC,2023-07-01,05:00:00
individuo 1,PP,45,312,319,0,42498,17,48,303,-4047,0,-595,0,360,0,316,394,12145,49,2023-07-06 07:00:00 UTC,2023-07-06,09:00:00
individuo 1,PP,45,313,318,0,42370,17,52,270,-4048,0,-594,0,367,0,322,383,12262,49,2023-07-04 06:00:00 UTC,2023-07-04,08:00:00
individuo 1,PP,45,315,304,0,42882,17,44,261,-4050,0,-584,0,366,0,313,354,12569,49,2023-07-08 00:00:01 UTC,2023-07-08,02:00:01
individuo 1,PP,45,316,305,0,42370,17,50,254,-4048,0,-594,0,367,0,314,357,12592,49,2023-07-04 04:00:00 UTC,2023-07-04,06:00:00
individuo 1,PP,45,316,306,0,42242,17,50,260,-4048,0,-597,0,364,0,314,357,12574,49,2023-07-03 05:00:00 UTC,2023-07-03,07:00:00
individuo 1,PP,45,317,303,0,42754,17,44,250,-4047,0,-596,0,366,0,315,355,12702,49,2023-07-07 00:00:00 UTC,2023-07-07,02:00:00
individuo 1,PP,45,317,328,0,42626,17,48,312,-4046,0,-595,0,362,0,322,401,12052,49,2023-07-07 07:00:00 UTC,2023-07-07,09:00:00
individuo 1,PP,45,321,309,0,42114,17,51,258,-4047,0,-597,0,366,0,319,361,12579,49,2023-07-02 03:00:00 UTC,2023-07-02,05:00:00
individuo 1,PP,45,322,310,0,41986,17,49,260,-4048,0,-595,0,362,0,320,361,12604,49,2023-07-01 02:00:01 UTC,2023-07-01,04:00:01
individuo 1,PP,45,322,322,0,42242,17,51,275,-4047,0,-597,0,365,0,328,384,12220,49,2023-07-03 06:00:00 UTC,2023-07-03,08:00:00
individuo 1,PP,45,323,310,0,42625,17,44,262,-4048,0,-595,0,365,0,319,356,12692,49,2023-07-06 01:00:00 UTC,2023-07-06,03:00:00
individuo 1,PP,45,323,336,0,41858,17,53,307,-4046,0,-596,0,363,0,331,407,12084,49,2023-07-01 07:00:01 UTC,2023-07-01,09:00:01
individuo 1,PP,45,324,315,0,42242,17,50,268,-4048,0,-594,0,363,0,323,367,12514,49,2023-07-03 04:00:00 UTC,2023-07-03,06:00:00
individuo 1,PP,45,324,339,0,42755,17,50,308,-4047,0,-592,0,363,0,329,394,12118,49,2023-07-08 09:00:00 UTC,2023-07-08,11:00:00
individuo 1,PP,45,325,313,0,42882,17,44,273,-4050,2,-586,2,363,2,323,364,12499,49,2023-07-07 23:00:00 UTC,2023-07-08,01:00:00
individuo 1,PP,45,326,315,0,42369,17,50,264,-4049,1,-591,1,365,1,324,365,12510,49,2023-07-04 03:00:00 UTC,2023-07-04,05:00:00
individuo 1,PP,45,326,333,0,42754,17,49,315,-4047,0,-592,0,364,0,328,389,12086,49,2023-07-08 10:00:00 UTC,2023-07-08,12:00:00
individuo 1,PP,45,329,343,0,42370,17,50,320,-4046,0,-596,0,362,0,329,397,11990,49,2023-07-05 08:00:00 UTC,2023-07-05,10:00:00
individuo 1,PP,45,330,316,0,42754,17,44,261,-4047,0,-596,0,365,0,329,369,12605,49,2023-07-06 23:00:00 UTC,2023-07-07,01:00:00
individuo 1,PP,45,331,356,0,42362,17,50,322,-4046,0,-595,0,363,0,338,404,11989,49,2023-07-05 09:00:00 UTC,2023-07-05,11:00:00
individuo 1,PP,45,332,321,0,41929,17,49,268,-4048,0,-595,0,361,0,330,371,12539,49,2023-07-01 01:00:00 UTC,2023-07-01,03:00:00
individuo 1,PP,45,332,322,0,42090,17,50,274,-4048,0,-592,0,364,0,330,372,12478,49,2023-07-02 02:00:00 UTC,2023-07-02,04:00:00
individuo 1,PP,45,333,323,0,42144,17,49,276,-4049,0,-589,0,365,0,332,375,12428,49,2023-07-03 03:00:00 UTC,2023-07-03,05:00:00
individuo 1,PP,45,335,319,0,42381,17,46,266,-4047,0,-596,0,364,0,331,367,12731,49,2023-07-05 00:00:00 UTC,2023-07-05,02:00:00
individuo 1,PP,45,335,324,0,42242,17,49,277,-4048,1,-595,1,361,1,334,375,12476,49,2023-07-04 02:00:00 UTC,2023-07-04,04:00:00
individuo 1,PP,45,335,347,0,41986,17,54,318,-4046,0,-597,0,362,0,340,415,12009,49,2023-07-02 07:00:00 UTC,2023-07-02,09:00:00
individuo 1,PP,45,335,348,0,42242,17,53,304,-4049,0,-587,0,363,0,340,413,12097,49,2023-07-04 07:00:00 UTC,2023-07-04,09:00:00
individuo 1,PP,45,335,354,0,42754,17,50,341,-4046,0,-592,0,360,0,331,401,12085,49,2023-07-08 08:00:00 UTC,2023-07-08,10:00:00
individuo 1,PP,45,337,325,0,42498,17,44,277,-4048,0,-592,0,362,0,334,375,12486,49,2023-07-06 00:00:00 UTC,2023-07-06,02:00:00
individuo 1,PP,45,337,326,0,42754,17,44,287,-4048,0,-590,0,363,0,335,376,12413,49,2023-07-07 22:00:00 UTC,2023-07-08,00:00:00
individuo 1,PP,45,340,330,0,41987,17,50,283,-4049,1,-592,1,354,1,339,381,12415,49,2023-07-02 01:00:00 UTC,2023-07-02,03:00:00
individuo 1,PP,45,340,355,0,42626,17,48,326,-4048,0,-588,0,358,0,347,420,11886,49,2023-07-07 09:00:00 UTC,2023-07-07,11:00:00
individuo 1,PP,45,341,356,0,42496,17,48,328,-4046,0,-595,0,360,0,347,415,11988,49,2023-07-06 09:00:00 UTC,2023-07-06,11:00:00
individuo 1,PP,45,341,357,0,42242,17,50,347,-4046,0,-596,0,357,0,343,412,11858,49,2023-07-05 10:00:00 UTC,2023-07-05,12:00:00
individuo 1,PP,45,342,331,0,41858,17,49,279,-4050,0,-585,0,365,0,341,382,12470,49,2023-07-01 00:00:00 UTC,2023-07-01,02:00:00
individuo 1,PP,45,342,331,0,42115,17,49,282,-4047,0,-596,0,364,0,340,383,12409,49,2023-07-03 02:00:00 UTC,2023-07-03,04:00:00
individuo 1,PP,45,343,355,0,42114,17,52,323,-4046,0,-597,0,361,0,349,422,12068,49,2023-07-03 07:00:00 UTC,2023-07-03,09:00:00
individuo 1,PP,45,343,357,0,42754,17,50,345,-4045,0,-595,0,362,0,340,402,11920,49,2023-07-08 11:00:00 UTC,2023-07-08,13:00:00
individuo 1,PP,45,344,357,0,42626,17,47,338,-4048,0,-591,0,353,0,346,410,11882,49,2023-07-07 10:00:00 UTC,2023-07-07,12:00:00
individuo 1,PP,45,344,360,0,42754,17,48,353,-4045,0,-594,0,362,0,345,415,11781,49,2023-07-08 12:00:00 UTC,2023-07-08,14:00:00
individuo 1,PP,45,346,331,0,42626,17,43,284,-4046,0,-596,0,362,0,343,382,12487,49,2023-07-06 22:00:00 UTC,2023-07-07,00:00:00
individuo 1,PP,45,346,335,0,42242,17,48,283,-4047,0,-595,0,362,0,344,385,12382,49,2023-07-04 01:00:00 UTC,2023-07-04,03:00:00
individuo 1,PP,45,346,356,0,42374,17,48,341,-4045,0,-595,0,360,0,347,411,11952,49,2023-07-06 10:00:01 UTC,2023-07-06,12:00:01
individuo 1,PP,45,347,364,0,42527,17,48,350,-4047,0,-591,0,350,0,345,415,11955,49,2023-07-07 08:00:00 UTC,2023-07-07,10:00:00
individuo 1,PP,45,348,336,0,42754,17,44,299,-4048,0,-590,0,361,0,345,388,12310,49,2023-07-07 21:00:00 UTC,2023-07-07,23:00:00
individuo 1,PP,45,349,337,0,42498,17,44,290,-4048,0,-590,0,363,0,347,388,12380,49,2023-07-05 23:00:00 UTC,2023-07-06,01:00:00
individuo 1,PP,45,349,339,0,41986,17,49,292,-4046,0,-598,0,361,0,347,390,12358,49,2023-07-02 00:00:00 UTC,2023-07-02,02:00:00
individuo 1,PP,45,349,362,0,42754,17,47,361,-4045,0,-594,0,362,0,350,415,11805,49,2023-07-08 13:00:00 UTC,2023-07-08,15:00:00
individuo 1,PP,45,350,374,0,42370,17,48,355,-4045,0,-595,0,359,0,348,422,11982,49,2023-07-06 08:00:00 UTC,2023-07-06,10:00:00
individuo 1,PP,45,351,339,0,42370,17,46,291,-4047,0,-593,0,363,0,349,389,12364,49,2023-07-04 23:00:01 UTC,2023-07-05,01:00:01
individuo 1,PP,45,351,341,0,42114,17,49,295,-4047,0,-593,0,365,0,349,393,12349,49,2023-07-03 01:00:00 UTC,2023-07-03,03:00:00
individuo 1,PP,45,354,343,0,41858,17,48,293,-4049,0,-587,0,363,0,352,393,12372,49,2023-06-30 23:00:00 UTC,2023-07-01,01:00:00
individuo 1,PP,45,354,365,0,41858,17,52,335,-4047,0,-594,0,357,0,356,422,11943,49,2023-07-01 10:00:00 UTC,2023-07-01,12:00:00
individuo 1,PP,45,354,366,0,42242,17,53,325,-4048,0,-593,0,354,0,359,426,11906,49,2023-07-04 09:00:00 UTC,2023-07-04,11:00:00
individuo 1,PP,45,354,379,0,41853,17,52,334,-4046,0,-595,0,362,0,359,424,11953,49,2023-07-01 09:00:00 UTC,2023-07-01,11:00:00
individuo 1,PP,45,355,367,0,42561,17,46,355,-4048,1,-588,1,353,1,356,420,11833,49,2023-07-07 12:00:00 UTC,2023-07-07,14:00:00
individuo 1,PP,45,356,342,0,42882,17,43,300,-4046,0,-595,0,363,0,351,389,12391,49,2023-07-08 21:00:00 UTC,2023-07-08,23:00:00
individuo 1,PP,45,356,367,0,42117,17,52,341,-4047,0,-594,0,354,0,358,418,11897,49,2023-07-04 10:00:00 UTC,2023-07-04,12:00:00
individuo 1,PP,45,357,343,0,42626,17,43,291,-4046,0,-593,0,366,0,356,395,12369,49,2023-07-06 21:00:00 UTC,2023-07-06,23:00:00
individuo 1,PP,45,357,346,0,42242,17,48,297,-4047,0,-593,0,362,0,356,397,12339,49,2023-07-04 00:00:00 UTC,2023-07-04,02:00:00
individuo 1,PP,45,358,347,0,41986,17,49,303,-4047,0,-596,0,355,0,355,396,12306,49,2023-07-01 23:00:00 UTC,2023-07-02,01:00:00
individuo 1,PP,45,358,347,0,42754,17,44,314,-4053,7,-574,7,354,7,357,397,12246,49,2023-07-07 20:00:00 UTC,2023-07-07,22:00:00
individuo 1,PP,45,358,367,0,42613,17,46,357,-4049,2,-591,2,342,2,359,420,11852,49,2023-07-07 13:00:00 UTC,2023-07-07,15:00:00
individuo 1,PP,45,358,370,0,42747,17,47,376,-4048,1,-588,1,353,1,358,422,11728,49,2023-07-08 14:00:00 UTC,2023-07-08,16:00:00
individuo 1,PP,45,359,350,0,42114,17,48,306,-4046,0,-598,0,362,0,358,400,12243,49,2023-07-03 00:00:00 UTC,2023-07-03,02:00:00
individuo 1,PP,45,359,371,0,42499,17,47,362,-4046,1,-592,1,354,1,354,415,11895,49,2023-07-07 11:00:00 UTC,2023-07-07,13:00:00
individuo 1,PP,45,360,349,0,42479,17,44,306,-4047,0,-593,0,361,0,359,400,12316,49,2023-07-05 22:00:00 UTC,2023-07-06,00:00:00
individuo 1,PP,45,360,384,0,41731,17,52,351,-4046,0,-595,0,357,0,356,431,11989,49,2023-07-01 08:00:00 UTC,2023-07-01,10:00:00
individuo 1,PP,45,361,375,0,42370,17,47,363,-4044,0,-597,0,357,0,364,431,11698,49,2023-07-06 12:00:00 UTC,2023-07-06,14:00:00
individuo 1,PP,45,363,350,0,42114,17,47,295,-4046,0,-598,0,363,0,362,402,12287,49,2023-07-02 23:00:00 UTC,2023-07-03,01:00:00
individuo 1,PP,45,363,352,0,42365,17,46,304,-4047,0,-590,0,361,0,361,401,12284,49,2023-07-04 22:00:00 UTC,2023-07-05,00:00:00
individuo 1,PP,45,363,371,0,42568,17,46,363,-4047,1,-583,1,365,1,364,425,11832,49,2023-07-07 14:00:00 UTC,2023-07-07,16:00:00
individuo 1,PP,45,364,354,0,41858,17,48,303,-4048,0,-590,0,364,0,363,405,12280,49,2023-06-30 22:00:00 UTC,2023-07-01,00:00:00
individuo 1,PP,45,364,388,0,42242,17,51,379,-4044,0,-596,0,357,0,361,428,11699,49,2023-07-05 11:00:00 UTC,2023-07-05,13:00:00
individuo 1,PP,45,365,377,0,41859,17,53,350,-4045,0,-595,0,361,0,366,432,11820,49,2023-07-02 10:00:00 UTC,2023-07-02,12:00:00
individuo 1,PP,45,365,377,0,41987,17,52,343,-4046,0,-596,0,354,0,368,431,11887,49,2023-07-03 09:00:00 UTC,2023-07-03,11:00:00
individuo 1,PP,45,365,378,0,41733,17,52,357,-4047,1,-592,1,353,1,365,428,11822,49,2023-07-01 12:00:00 UTC,2023-07-01,14:00:00
individuo 1,PP,45,365,382,0,42370,17,49,373,-4044,0,-597,0,358,0,360,422,11808,49,2023-07-06 11:00:00 UTC,2023-07-06,13:00:00
individuo 1,PP,45,365,383,0,42242,17,49,379,-4045,0,-593,0,359,0,367,439,11716,49,2023-07-05 12:00:00 UTC,2023-07-05,14:00:00
individuo 1,PP,45,365,389,0,41859,17,53,347,-4045,0,-596,0,363,0,369,429,11894,49,2023-07-02 09:00:00 UTC,2023-07-02,11:00:00
individuo 1,PP,45,366,356,0,41986,17,48,304,-4045,0,-598,0,363,0,364,404,12306,49,2023-07-01 22:00:00 UTC,2023-07-02,00:00:00
individuo 1,PP,45,366,378,0,42114,17,51,363,-4050,1,-593,1,335,1,367,431,11682,49,2023-07-04 12:00:00 UTC,2023-07-04,14:00:00
individuo 1,PP,45,366,379,0,42628,17,46,389,-4045,0,-591,0,358,0,367,431,11705,49,2023-07-08 15:00:01 UTC,2023-07-08,17:00:01
individuo 1,PP,45,366,383,0,42115,17,53,347,-4047,0,-588,0,358,0,363,431,11957,49,2023-07-04 08:00:00 UTC,2023-07-04,10:00:00
individuo 1,PP,45,367,376,0,41987,17,52,348,-4046,0,-590,0,363,0,370,430,11826,49,2023-07-03 10:00:00 UTC,2023-07-03,12:00:00
individuo 1,PP,45,367,379,0,42370,17,47,373,-4046,0,-591,0,356,0,367,430,11792,49,2023-07-06 13:00:00 UTC,2023-07-06,15:00:00
individuo 1,PP,45,367,388,0,41859,17,53,363,-4046,0,-593,0,356,0,364,433,11858,49,2023-07-02 08:00:00 UTC,2023-07-02,10:00:00
individuo 1,PP,45,368,356,0,42221,17,48,310,-4046,0,-594,0,363,0,366,407,12230,49,2023-07-03 23:00:00 UTC,2023-07-04,01:00:00
individuo 1,PP,45,368,379,0,41731,17,51,362,-4045,0,-593,0,362,0,368,427,11964,49,2023-07-01 13:00:00 UTC,2023-07-01,15:00:00
individuo 1,PP,45,369,378,0,42499,17,46,374,-4056,4,-550,4,360,4,370,431,11757,49,2023-07-07 15:00:00 UTC,2023-07-07,17:00:00
individuo 1,PP,45,370,360,0,42882,17,43,328,-4045,0,-595,0,361,0,367,410,12238,49,2023-07-08 20:00:00 UTC,2023-07-08,22:00:00
individuo 1,PP,45,370,364,0,42626,17,45,351,-4056,9,-546,9,366,9,368,411,12109,49,2023-07-07 19:00:00 UTC,2023-07-07,21:00:00
individuo 1,PP,45,370,387,0,41731,17,53,361,-4045,0,-595,0,360,0,363,423,11916,49,2023-07-01 11:00:00 UTC,2023-07-01,13:00:00
individuo 1,PP,45,372,382,0,42370,17,46,379,-4045,0,-591,0,359,0,373,435,11732,49,2023-07-06 14:00:00 UTC,2023-07-06,16:00:00
individuo 1,PP,45,372,383,0,42114,17,50,372,-4051,7,-590,7,329,7,372,433,11712,49,2023-07-04 13:00:00 UTC,2023-07-04,15:00:00
individuo 1,PP,45,373,362,0,42370,17,44,324,-4046,0,-592,0,360,0,371,412,12190,49,2023-07-05 21:00:00 UTC,2023-07-05,23:00:00
individuo 1,PP,45,373,385,0,42114,17,53,370,-4050,1,-582,1,349,1,366,425,11863,49,2023-07-04 11:00:00 UTC,2023-07-04,13:00:00
